x,y,z
-1.5,-1.5,5.65733e-06
-1.4,-1.5,1.81736e-05
-1.3,-1.5,5.30477e-05
-1.2,-1.5,0.000140976
-1.1,-1.5,0.000341833
-1.0,-1.5,0.000758004
-0.9,-1.5,0.00154089
-0.8,-1.5,0.00287878
-0.7,-1.5,0.00495539
-0.6,-1.5,0.00787884
-0.5,-1.5,0.0115983
-0.4,-1.5,0.0158424
-0.3,-1.5,0.0201174
-0.2,-1.5,0.0237859
-0.1,-1.5,0.0262161
0.0,-1.5,0.0269534
0.1,-1.5,0.0258548
0.2,-1.5,0.0231326
0.3,-1.5,0.0192895
0.4,-1.5,0.0149725
0.5,-1.5,0.0108003
0.6,-1.5,0.00722593
0.7,-1.5,0.00447401
0.8,-1.5,0.00255742
0.9,-1.5,0.00134624
1.0,-1.5,0.000650961
1.1,-1.5,0.000288415
1.2,-1.5,0.000116806
1.3,-1.5,4.31429e-05
1.4,-1.5,1.4502e-05
1.5,-1.5,4.42776e-06
-1.5,-1.4,1.81736e-05
-1.4,-1.4,5.73817e-05
-1.3,-1.4,0.000164592
-1.2,-1.4,0.000429795
-1.1,-1.4,0.00102408
-1.0,-1.4,0.00223206
-0.9,-1.4,0.004462
-0.8,-1.4,0.00820352
-0.7,-1.4,0.0139102
-0.6,-1.4,0.0218138
-0.5,-1.4,0.0317213
-0.4,-1.4,0.0428803
-0.3,-1.4,0.0539994
-0.2,-1.4,0.0634622
-0.1,-1.4,0.0696957
0.0,-1.4,0.0715817
0.1,-1.4,0.0687706
0.2,-1.4,0.0617817
0.3,-1.4,0.0518543
0.4,-1.4,0.0406038
0.5,-1.4,0.0296072
0.6,-1.4,0.0200591
0.7,-1.4,0.0125956
0.8,-1.4,0.00731065
0.9,-1.4,0.00391121
1.0,-1.4,0.00192341
1.1,-1.4,0.000867061
1.2,-1.4,0.000357361
1.3,-1.4,0.000134331
1.4,-1.4,4.59483e-05
1.5,-1.4,1.42724e-05
-1.5,-1.3,5.30477e-05
-1.4,-1.3,0.000164592
-1.3,-1.3,0.000463794
-1.2,-1.3,0.00118955
-1.1,-1.3,0.00278389
-1.0,-1.3,0.0059608
-0.9,-1.3,0.0117108
-0.8,-1.3,0.0211742
-0.7,-1.3,0.0353432
-0.6,-1.3,0.0546287
-0.5,-1.3,0.0784227
-0.4,-1.3,0.10485
-0.3,-1.3,0.130878
-0.2,-1.3,0.15283
-0.1,-1.3,0.167203
0.0,-1.3,0.171539
0.1,-1.3,0.165074
0.2,-1.3,0.148944
0.3,-1.3,0.125878
0.4,-1.3,0.0994861
0.5,-1.3,0.0733746
0.6,-1.3,0.0503739
0.7,-1.3,0.0321011
0.8,-1.3,0.0189315
0.9,-1.3,0.0103005
1.0,-1.3,0.00515472
1.1,-1.3,0.00236552
1.2,-1.3,0.000992634
1.3,-1.3,0.000379877
1.4,-1.3,0.000132262
1.5,-1.3,4.18043e-05
-1.5,-1.2,0.000140976
-1.4,-1.2,0.000429795
-1.3,-1.2,0.00118955
-1.2,-1.2,0.00299592
-1.1,-1.2,0.00688414
-1.0,-1.2,0.0144741
-0.9,-1.2,0.0279325
-0.8,-1.2,0.0496399
-0.7,-1.2,0.0815133
-0.6,-1.2,0.124104
-0.5,-1.2,0.175769
-0.4,-1.2,0.232301
-0.3,-1.2,0.287282
-0.2,-1.2,0.333203
-0.1,-1.2,0.363071
0.0,-1.2,0.372054
0.1,-1.2,0.358657
0.2,-1.2,0.3251
0.3,-1.2,0.276766
0.4,-1.2,0.220888
0.5,-1.2,0.164876
0.6,-1.2,0.114771
0.7,-1.2,0.0742717
0.8,-1.2,0.0445328
0.9,-1.2,0.0246557
1.0,-1.2,0.0125622
1.1,-1.2,0.00587102
1.2,-1.2,0.00250914
1.3,-1.2,0.000977845
1.4,-1.2,0.0003466
1.5,-1.2,0.000111481
-1.5,-1.1,0.000341833
-1.4,-1.1,0.00102408
-1.3,-1.1,0.00278389
